Word,Meaning,PartOfSpeech,Example,ExampleChinese,Synonyms,Root,Level,Deck
legal,合法的,adj.,It is legal to drive at 18 in Taiwan.,在台灣18歲開車是合法的。,lawful,leg=law,B1,字首-反義詞
patient,有耐心的,adj.,The teacher is very patient with students.,老師對學生很有耐心。,tolerant,pati=suffer,A2,字首-反義詞
perfect,完美的,adj.,Nobody is perfect.,沒有人是完美的。,flawless,per+fect=make,B1,字首-反義詞
polite,有禮貌的,adj.,Always be polite to others.,對他人要有禮貌。,courteous,pol=polish,A2,字首-反義詞
possible,可能的,adj.,Is it possible to finish by noon?,在中午前完成可能嗎？,feasible,poss=able,A2,字首-反義詞
practical,實際的,adj.,We need a practical solution.,我們需要一個實際的解決方案。,useful,pract=do,B1,字首-反義詞
dependent,依賴的,adj.,Children are dependent on their parents.,孩子依賴父母。,reliant,de+pend=hang,B1,字首-反義詞
regular,規律的,adj.,Exercise regularly for good health.,為了健康要規律運動。,routine,reg=rule,B1,字首-反義詞
responsible,負責的,adj.,Be responsible for your actions.,為自己的行為負責。,accountable,re+spond=answer,B1,字首-反義詞
able,能夠的,adj.,She is able to speak three languages.,她能說三種語言。,capable,abil=able,A1,字首-反義詞
equal,平等的,adj.,Everyone deserves equal rights.,每個人都應有平等的權利。,fair,equ=same,B1,字首-反義詞
important,重要的,adj.,Education is very important.,教育非常重要。,significant,port=carry,A1,字首-反義詞
fair,公平的,adj.,The judge made a fair decision.,法官做了公平的裁決。,just,fair,A2,字首-反義詞
illegal,違法的,adj.,It is illegal to drive without a license.,沒有駕照開車是違法的。,unlawful,il+legal,B1,字首-反義詞
impatient,沒耐心的,adj.,He was impatient waiting in line.,他排隊等候時很不耐煩。,restless,im+patient,B1,字首-反義詞
imperfect,不完美的,adj.,The design was imperfect and needed revision.,設計不完美需要修改。,flawed,im+perfect,B2,字首-反義詞
impolite,不禮貌的,adj.,It is impolite to interrupt someone.,打斷別人說話是不禮貌的。,rude,im+polite,B1,字首-反義詞
impossible,不可能的,adj.,Nothing is impossible if you try.,只要努力，沒有什麼是不可能的。,unachievable,im+possible,A2,字首-反義詞
impractical,不實際的,adj.,That plan is too impractical.,那個計畫太不切實際了。,unrealistic,im+practical,B2,字首-反義詞
independent,獨立的,adj.,She became independent after college.,她大學後變得獨立。,self-reliant,in+dependent,B1,字首-反義詞
irregular,不規律的,adj.,His heartbeat was irregular.,他的心跳不規律。,uneven,ir+regular,B2,字首-反義詞
irresponsible,不負責的,adj.,It is irresponsible to lie.,說謊是不負責任的。,reckless,ir+responsible,B2,字首-反義詞
unable,不能的,adj.,I was unable to attend the meeting.,我無法出席會議。,incapable,un+able,A2,字首-反義詞
unequal,不平等的,adj.,The pay was unequal between men and women.,男女薪資不平等。,unfair,un+equal,B2,字首-反義詞
unimportant,不重要的,adj.,Don't waste time on unimportant tasks.,不要浪費時間在不重要的事上。,trivial,un+important,B1,字首-反義詞
unfair,不公平的,adj.,The punishment was unfair.,這個懲罰是不公平的。,unjust,un+fair,B1,字首-反義詞
abduct,綁架,vt.,The child was abducted near the school.,孩子在學校附近被綁架。,kidnap,ab+duct=lead,C1,字首-ab
abduction,綁架（名詞）,n.,The police solved the abduction case.,警察破獲了綁架案。,kidnapping,ab+duction,C1,字首-ab
abnormal,不正常的,adj.,The test results were abnormal.,檢測結果不正常。,unusual,ab+normal,B2,字首-ab
absent,缺席的,adj.,Three students were absent today.,今天三個學生缺席。,missing,ab+sent,A2,字首-ab
absence,缺席（名詞）,n.,His absence was noticed by everyone.,他的缺席被所有人注意到。,nonattendance,ab+sence,B1,字首-ab
abstract,抽象的,adj.,Art can be abstract and meaningful.,藝術可以是抽象且有意義的。,theoretical,ab+tract=draw,B2,字首-ab
abstraction,抽象；空泛,n.,The painting was full of abstraction.,這幅畫充滿了抽象感。,concept,ab+straction,C1,字首-ab
abuse,濫用；虐待,vt.,Never abuse your power.,永遠不要濫用你的權力。,misuse,ab+use,B2,字首-ab
antibiotics,抗生素,n.,The doctor prescribed antibiotics.,醫生開了抗生素。,medicine,anti+biotics,B2,字首-anti
anti-earthquake,抗震的,adj.,The building has anti-earthquake design.,這棟建築有抗震設計。,,anti+earthquake,B2,字首-anti
anti-nuclear,反核的,adj.,Many people joined the anti-nuclear protest.,很多人參加了反核抗議。,,anti+nuclear,B2,字首-anti
anti-social,反社會的,adj.,Anti-social behavior should be stopped.,反社會行為應該被制止。,,anti+social,B2,字首-anti
anti-virus,防毒的,adj.,Install an anti-virus program on your computer.,在電腦上安裝防毒程式。,,anti+virus,B1,字首-anti
contradict,否認；反駁,vt.,Don't contradict yourself.,不要自相矛盾。,deny,contra+dict=say,B2,字首-contra
contradiction,矛盾；予盾,n.,There is a contradiction in your argument.,你的論點有矛盾。,conflict,contra+diction,B2,字首-contra
contradictory,自相矛盾的,adj.,His statements were contradictory.,他的陳述自相矛盾。,inconsistent,contra+dictory,C1,字首-contra
contrary,相反的；對立的,adj./n.,On the contrary he agreed with me.,相反地，他同意我的看法。,opposite,contra+ry,B2,字首-contra
contrast,差別；對比；反視,n.,There is a sharp contrast between the two.,兩者之間有明顯對比。,difference,contra+st,B1,字首-contra
controvert,辯論；爭辯；駁斥,vt.,Experts controverter the new theory.,專家們對這個新理論提出爭議。,dispute,contro+vert=turn,C1,字首-contra
controversy,爭論,n.,The decision caused great controversy.,這個決定引起了極大爭議。,debate,contro+versy,B2,字首-contra
controversial,爭議性的,adj.,The topic is very controversial.,這個話題非常具有爭議性。,debatable,contro+versial,B2,字首-contra
counterclockwise,逆時針方向的,adj./adv.,Turn the knob counterclockwise.,將旋鈕逆時針轉動。,,counter+clockwise,B2,字首-contra
counterfeit,偽造的；假冒的,adj./vt./n.,The police found counterfeit money.,警察發現了假鈔。,fake,counter+feit=make,B2,字首-contra
decode,解碼,vt.,Scientists decoded the ancient message.,科學家解碼了古老訊息。,decipher,de+code,B2,字首-de
decrease,減少,vi./vt./n.,Sales decreased by 10% last month.,上個月銷售減少了10%。,reduce,de+crease,B1,字首-de
decompose,分解,vi./vt.,Leaves decompose on the forest floor.,落葉在森林地面上分解。,decay,de+compose,B2,字首-de
decomposition,分解（名詞）,n.,Decomposition is important for the ecosystem.,分解作用對生態系統很重要。,decay,de+composition,B2,字首-de
deforest,砍伐森林,vt.,Humans continue to deforest the Amazon.,人類持續砍伐亞馬遜森林。,clear,de+forest,B2,字首-de
deforestation,砍伐森林（名詞）,n.,Deforestation causes climate change.,森林砍伐導致氣候變化。,logging,de+forestation,B2,字首-de
destroy,破壞；清滅；殺戮,vt.,The fire destroyed the building.,火災摧毀了這棟建築。,ruin,de+stroy,B1,字首-de
destruction,破壞；清滅,n.,The storm caused massive destruction.,風暴造成了巨大的破壞。,ruin,de+struction,B2,字首-de
disadvantage,缺點,n.,Living far from work is a disadvantage.,住所離工作地點遠是個缺點。,drawback,dis+advantage,B1,字首-dis
disadvantageous,不利的,adj.,The weather was disadvantageous for farming.,天氣對農業不利。,unfavorable,dis+advantageous,C1,字首-dis
disappear,消失,vi.,The magician made the rabbit disappear.,魔術師讓兔子消失了。,vanish,dis+appear,A2,字首-dis
disappearance,消失（名詞）,n.,The disappearance of the dog was sad.,狗狗的消失令人傷心。,vanishing,dis+appearance,B1,字首-dis
discourage,使失去勇氣；勸阻,vt.,Don't let failure discourage you.,不要讓失敗使你氣餒。,deter,dis+courage,B2,字首-dis
discouragement,沮喪；灰心,n.,Discouragement is natural after failure.,失敗後感到沮喪是自然的。,despair,dis+couragement,B2,字首-dis
discover,發現；發覺,vt.,Columbus discovered America in 1492.,哥倫布於1492年發現美洲。,find,dis+cover,A2,字首-dis
discovery,發現（名詞）,n.,The discovery of fire changed history.,火的發現改變了歷史。,finding,dis+covery,B1,字首-dis
dislike,不喜歡；嫌惡,n./vt.,She dislikes loud music.,她不喜歡嘈雜的音樂。,hate,dis+like,A2,字首-dis
disgust,嘔心；反感,n./vt.,The smell caused disgust.,那個氣味令人作嘔。,revulsion,dis+gust,B2,字首-dis
disgusting,令人嘔心的,adj.,The food was disgusting.,那個食物令人噁心。,revolting,dis+gusting,B2,字首-dis
distance,距離,n.,The distance between the two cities is 100 km.,兩座城市相距100公里。,gap,di+stance,A2,字首-dis
distant,遙遠的,adj.,The stars look distant in the sky.,星星在天空中看起來很遙遠。,far,di+stant,B1,字首-dis
disguise,偽裝,v.,The spy disguised himself as a tourist.,間諜偽裝成遊客。,mask,dis+guise,B2,字首-dis
dispute,爭論,v.,They disputed over the land boundary.,他們為土地邊界爭論。,argue,dis+pute,B2,字首-dis
nonfat,脫脂的,adj.,I prefer nonfat milk.,我喜歡脫脂牛奶。,,non+fat,A2,字首-non
non-profit,非營利的,adj.,She works for a non-profit organization.,她在非營利組織工作。,,non+profit,B1,字首-non
nonsense,胡說八道,n.,That is complete nonsense.,那完全是胡說八道。,rubbish,non+sense,B1,字首-non
nonstop,不停的；不斷的,adj.,We took a nonstop flight to Tokyo.,我們乘坐直飛東京的航班。,continuous,non+stop,A2,字首-non
nonverbal,不用言辭表達的,adj.,Nonverbal communication is very powerful.,非語言溝通非常有力量。,,non+verbal,B2,字首-non
forecast,預言；預測；預報,vt./n.,The forecast says it will rain tomorrow.,預報說明天會下雨。,predict,fore+cast=throw,B1,字首-fore
forefather,祖先；祖宗,n.,Our forefathers built this country.,我們的祖先建立了這個國家。,ancestor,fore+father,B2,字首-fore
forerunner,前鋒；前兆；祖先,n.,He was a forerunner in modern art.,他是現代藝術的先驅。,pioneer,fore+runner,C1,字首-fore
foresee,先見；預知,vt.,Nobody could foresee the pandemic.,沒有人能預見這場疫情。,predict,fore+see,B2,字首-fore
foreword,前言,n.,The author wrote a short foreword.,作者寫了一篇簡短的前言。,preface,fore+word,B2,字首-fore
predict,預言；預測,vt.,Scientists predict climate change will worsen.,科學家預測氣候變化將惡化。,forecast,pre+dict=speak,B1,字首-pre
preserve,保存；防腐,vt.,We must preserve the environment.,我們必須保護環境。,protect,pre+serve=keep,B2,字首-pre
prevent,阻止；預防,vt.,Wash your hands to prevent illness.,洗手以預防疾病。,stop,pre+vent=come,B1,字首-pre
preview,預習,vt.,Preview the chapter before class.,上課前預習章節。,review,pre+view,B1,字首-pre
previous,先前的,adj.,Did you finish the previous assignment?,你完成了之前的作業嗎？,earlier,pre+via=road,B1,字首-pre
promote,推廣；晉升,vt.,The company promotes healthy eating.,公司推廣健康飲食。,advance,pro+mote=move,B1,字首-pro
promotion,推廣；晉升（名詞）,n.,She received a promotion at work.,她在工作中獲得晉升。,advancement,pro+motion,B1,字首-pro
pronounce,發（音）；讀（音）,vt.,How do you pronounce this word?,這個字怎麼發音？,articulate,pro+nounce=say,A2,字首-pro
protect,保護,vt.,Wear sunscreen to protect your skin.,擦防曬霜保護皮膚。,guard,pro+tect=cover,A2,字首-pro
protection,保護（名詞）,n.,Children need protection from harm.,孩子需要保護免受傷害。,defense,pro+tection,B1,字首-pro
proverb,諺語；格言,n.,Every culture has its own proverbs.,每個文化都有自己的諺語。,saying,pro+verb=word,B2,字首-pro
provide,提供,vt.,The school provides free lunches.,學校提供免費午餐。,supply,pro+vide,A2,字首-pro
provision,提供（名詞）,n.,The provision of food is essential.,食物的供應是必要的。,supply,pro+vision,B2,字首-pro
postgraduate,研究生,n.,She is a postgraduate student.,她是一名研究生。,graduate student,post+graduate,B2,字首-post
postpone,延期；延緩,vt.,The meeting was postponed to next week.,會議延期到下週。,delay,post+pone=place,B1,字首-post
postponement,延期；延緩（名詞）,n.,The postponement was announced yesterday.,延期在昨天宣布。,delay,post+ponement,B2,字首-post
postscript,附加的資料；附筆（p.s.）,n.,She added a postscript to the letter.,她在信件中加了一個附言。,P.S.,post+script=write,B2,字首-post
